id,icao24,flt_id,dof,adep,ades,adep_p,ades_p,registration,model,typecode,icao_aircraft_class,icao_operator,first_seen,last_seen,version,unix_time
6070045360192752790,4692d3,AEE105  ,2025-06-23,LGTS,LGAV,,,SX-DVS,A320 232,A320,L2J,AEE,2025-06-23 04:55:50,2025-06-23 05:34:25,v2.0.0,1750654550
6125044977115473155,4690e2,AEE2RH  ,2025-06-17,LGRP,LGAV,,,SX-DGB,A320 232,A320,L2J,AEE,2025-06-17 06:56:15,2025-06-17 07:41:15,v2.0.0,1750143375
6126389757439341145,4d2210,RYR9235 ,2025-06-15,LGRP,LGTS,,,9H-QBT,,B738,L2J,,2025-06-15 21:24:30,2025-06-15 22:40:40,v2.0.0,1750022670
6203990377527518020,4690e5,AEE120  ,2025-06-06,LGAV,LGTS,,,SX-DGE,A320 232,A320,L2J,AEE,2025-06-06 14:58:15,2025-06-06 15:35:30,v2.0.0,1749221895
6206311100149637582,46b8a2,AEE119  ,2025-06-13,LGTS,LGAV,,,SX-NEB,A320-271N,A20N,L2J,AEE,2025-06-13 14:10:35,2025-06-13 14:42:25,v2.0.0,1749823835
6216457391258779172,4690fa,AEE580  ,2025-06-11,LGTS,LGRP,,,SX-DGZ,A320 232SL,A320,L2J,AEE,2025-06-11 11:21:30,2025-06-11 12:19:20,v2.0.0,1749640890
6221806702286097663,46ced4,SEH2GK  ,2025-06-28,LGTS,LGAV,,,SX-SVT,ATR 72-600,AT76,L2T,SXR,2025-06-28 09:49:05,2025-06-28 10:41:05,v2.0.0,1751104145
6254156399944970028,46b831,AEE2TS  ,2025-06-18,LGTS,LGAV,,,,,,,,2025-06-18 03:09:10,2025-06-18 03:46:30,v2.0.0,1750216150
6301136786826515066,46d1cf,SEH2HG  ,2025-06-05,LGAV,LGTS,,,SX-TNO,,AT76,L2T,,2025-06-05 08:18:10,2025-06-05 09:06:15,v2.0.0,1749111490
6389238504559446588,4691c4,AEE580  ,2025-06-28,LGTS,LGRP,,,SX-DND,A320 232SL,A320,L2J,AEE,2025-06-28 11:08:45,2025-06-28 12:10:25,v2.0.0,1751108925
6495852852931196494,4691c5,AEE111  ,2025-06-10,LGTS,LGAV,,,SX-DNE,Airbus A320 232SL,A320,L2J,AEE,2025-06-10 08:20:50,2025-06-10 08:57:40,v2.0.0,1749543650
6811869198879284804,4690e5,AEE111  ,2025-06-08,LGTS,LGAV,,,SX-DGE,A320 232,A320,L2J,AEE,2025-06-08 08:43:10,2025-06-08 09:19:00,v2.0.0,1749372190
6940150078676512530,4692d4,AEE123  ,2025-06-03,LGTS,LGAV,,,SX-DVT,A320 232,A320,L2J,AEE,2025-06-03 17:23:20,2025-06-03 17:59:55,v2.0.0,1748971400
6941305937398460004,46a60f,SEH5RT  ,2025-06-02,LGRP,LGAV,,,SX-IPO,ATR 72-600,AT76,,SEH,2025-06-02 16:21:35,2025-06-02 17:25:10,v2.0.0,1748881295
7203264551810300492,4691c4,AEE581  ,2025-06-24,LGRP,LGTS,,,SX-DND,A320 232SL,A320,L2J,AEE,2025-06-24 13:05:25,2025-06-24 14:21:45,v2.0.0,1750770325
7247706258186647434,4690fa,AEE129  ,2025-06-22,LGTS,LGAV,,LGEL,SX-DGZ,A320 232SL,A320,L2J,AEE,2025-06-22 21:23:05,2025-06-22 21:56:15,v2.0.0,1750627385
7419986967299733952,4692d2,AEE107  ,2025-06-10,LGTS,LGAV,,,SX-DVR,A320 232,A320,L2J,AEE,2025-06-10 06:28:10,2025-06-10 07:18:40,v2.0.0,1749536890
7536893357133300848,468625,MDF033  ,2025-06-25,LGTS,LGAV,,,SX-AQE,Embraer EMB-120ER(FC) Brasilia,E120,,MDF,2025-06-25 15:52:45,2025-06-25 16:40:45,v2.0.0,1750866765
7560082561505488664,469dc1,SEH5GK  ,2025-06-04,LGTS,LGAV,,,SX-GNA,A320-251N,A20N,L2J,SXR,2025-06-04 20:59:30,2025-06-04 21:35:45,v2.0.0,1749070770
7608585653277315127,4690f9,AEE105  ,2025-06-29,LGTS,LGAV,,,SX-DGY,A320 232SL,A320,L2J,AEE,2025-06-29 05:15:05,2025-06-29 05:49:10,v2.0.0,1751174105
7718812767978581863,4692cb,AEE581  ,2025-06-13,LGRP,LGTS,,,SX-DVK,A320 232,A320,L2J,AEE,2025-06-13 13:06:50,2025-06-13 13:59:55,v2.0.0,1749820010
7835808894715147767,4692d6,AEE581  ,2025-06-18,LGRP,LGTS,,,SX-DVV,A320 232,A320,L2J,AEE,2025-06-18 13:17:50,2025-06-18 14:17:20,v2.0.0,1750252670
7893584923210932822,4691c4,AEE581  ,2025-06-25,LGRP,LGTS,,,SX-DND,A320 232SL,A320,L2J,AEE,2025-06-25 13:06:35,2025-06-25 14:06:35,v2.0.0,1750856795
7993736314984969497,46b82a,AEE2TS  ,2025-06-06,LGTS,LGAV,,,SX-NAJ,A321 271NXSL,A21N,L2J,AEE,2025-06-06 03:09:20,2025-06-06 03:47:15,v2.0.0,1749179360
8011814039295557822,46d0c9,SEH2HG  ,2025-06-19,LGAV,LGTS,,,SX-TFI,ATR 72-600,AT76,,SEH,2025-06-19 08:20:55,2025-06-19 09:09:05,v2.0.0,1750321255
8090795696442714045,4692d6,AEE580  ,2025-06-20,LGTS,LGRP,,,SX-DVV,A320 232,A320,L2J,AEE,2025-06-20 11:12:30,2025-06-20 12:12:50,v2.0.0,1750417950
8125646543784096638,4ca802,RYR9235 ,2025-06-27,LGRP,LGTS,,,EI-EKD,BOEING 737-8AS,B738,L2J,RYR,2025-06-27 04:32:50,2025-06-27 05:39:15,v2.0.0,1750998770
8175502888233593033,4692d2,AEE123  ,2025-06-05,LGTS,LGAV,,,SX-DVR,A320 232,A320,L2J,AEE,2025-06-05 17:57:15,2025-06-05 18:38:05,v2.0.0,1749146235
8486432186351394425,4d0210,SVW79GD ,2025-06-15,LGTS,LGAV,,,,,,,,2025-06-15 10:22:10,2025-06-15 10:58:00,v2.0.0,1749982930
8625449589691059055,46a5e1,SEH5GK  ,2025-06-01,LGTS,LGAV,,LGEL,SX-IOA,Airbus A320-251N,A20N,,SEH,2025-06-01 20:40:10,2025-06-01 21:11:50,v2.0.0,1748810410
8697402107951448799,46da6c,SEH6GK  ,2025-06-22,LGTS,LGAV,,,SX-VSL,,A320,L2J,,2025-06-22 04:04:30,2025-06-22 04:41:45,v2.0.0,1750565070
8762153298584862144,4690f9,AEE5XQ  ,2025-06-03,LGTS,LGAV,,,SX-DGY,A320 232SL,A320,L2J,AEE,2025-06-03 15:16:50,2025-06-03 15:47:45,v2.0.0,1748963810
8836325518985735906,46a60f,SEH4RA  ,2025-06-02,LGAV,LGRP,,,SX-IPO,ATR 72-600,AT76,,SEH,2025-06-02 14:20:35,2025-06-02 15:22:05,v2.0.0,1748874035
8995654490195511802,4692c9,AEE119  ,2025-06-29,LGTS,LGAV,,,SX-DVI,A320 232,A320,L2J,AEE,2025-06-29 13:50:15,2025-06-29 14:21:40,v2.0.0,1751205015
9002190922516977283,4690e5,AEE111  ,2025-06-01,LGTS,LGAV,,,SX-DGE,A320 232,A320,L2J,AEE,2025-06-01 08:43:35,2025-06-01 09:20:15,v2.0.0,1748767415
9065083049049912551,4691c1,AEE83W  ,2025-06-06,LGTS,LGAV,,,SX-DNA,A320 232SL,A320,L2J,AEE,2025-06-06 11:10:25,2025-06-06 11:46:15,v2.0.0,1749208225
9136045566040625137,4692cd,AEE5XQ  ,2025-06-17,LGTS,LGAV,,,SX-DVM,A320 232,A320,L2J,AEE,2025-06-17 16:06:00,2025-06-17 16:46:15,v2.0.0,1750176360
9140697669153150201,46d0a3,SEH3GK  ,2025-06-01,LGTS,LGAV,,,SX-TEC,,A20N,L2J,,2025-06-01 17:27:50,2025-06-01 17:59:55,v2.0.0,1748798870
9188032576779004200,469dc1,SEH3GK  ,2025-06-22,LGTS,LGAV,,,SX-GNA,A320-251N,A20N,L2J,SXR,2025-06-22 17:30:55,2025-06-22 18:09:25,v2.0.0,1750613455
9387870555628303891,4691c4,AEE581  ,2025-06-26,LGRP,LGTS,,,SX-DND,A320 232SL,A320,L2J,AEE,2025-06-26 13:08:40,2025-06-26 14:20:15,v2.0.0,1750943320
9464222783830527687,4691c5,AEE5XQ  ,2025-06-28,LGTS,LGAV,,,SX-DNE,Airbus A320 232SL,A320,L2J,AEE,2025-06-28 15:38:25,2025-06-28 16:11:40,v2.0.0,1751125105
9497168778953316128,46d276,SEH2GK  ,2025-06-21,LGTS,LGAV,,,,,,,,2025-06-21 09:51:50,2025-06-21 10:41:25,v2.0.0,1750499510
9513186345470575134,46d0a3,SEH5GK  ,2025-06-18,LGTS,LGAV,,,SX-TEC,,A20N,L2J,,2025-06-18 22:07:30,2025-06-18 22:43:20,v2.0.0,1750284450
9563350957132131567,4692d6,AEE581  ,2025-06-23,LGRP,LGTS,,,SX-DVV,A320 232,A320,L2J,AEE,2025-06-23 13:10:55,2025-06-23 14:22:25,v2.0.0,1750684255
9695343962854739853,46dca2,SEH6GK  ,2025-06-12,LGTS,LGAV,,,SX-WEB,,A20N,L2J,,2025-06-12 04:10:30,2025-06-12 04:44:40,v2.0.0,1749701430
9753141748270345752,4692c7,AEE111  ,2025-06-30,LGTS,LGAV,,,SX-DVG,A320 232,A320,L2J,AEE,2025-06-30 08:28:15,2025-06-30 08:59:55,v2.0.0,1751272095
9756227855235897477,4692d9,AEE111  ,2025-06-22,LGTS,LGAV,,,SX-DVY,A320 232,A320,L2J,AEE,2025-06-22 08:25:05,2025-06-22 08:59:35,v2.0.0,1750580705
9773072764433373353,4d2286,RYR4WU  ,2025-06-20,LGTS,LGRP,,,9H-QDP,Boeing 737-8AS (W),B738,L2J,MMO,2025-06-20 02:49:50,2025-06-20 03:53:05,v2.0.0,1750387790
9777836805262454399,4690e9,AEE105  ,2025-06-19,LGTS,LGAV,,,SX-DGI,Airbus A320 232,A320,L2J,AEE,2025-06-19 05:04:15,2025-06-19 05:42:10,v2.0.0,1750309455
9836466154993678979,4d2210,RYR4WU  ,2025-06-18,LGTS,LGRP,,,9H-QBT,,B738,L2J,,2025-06-18 19:43:30,2025-06-18 20:58:40,v2.0.0,1750275810
9898781082660195174,4ab590,SEMLP   ,2025-06-04,LGTS,LGAV,,,SE-MLP,,B350,L2T,,2025-06-04 08:15:25,2025-06-04 09:06:50,v2.0.0,1749024925
9903900285966538789,46b831,AEE2TS  ,2025-06-20,LGTS,LGAV,,,,,,,,2025-06-20 03:04:30,2025-06-20 03:37:00,v2.0.0,1750388670
10023062863761993190,4692d6,AEE581  ,2025-06-22,LGRP,LGTS,,,SX-DVV,A320 232,A320,L2J,AEE,2025-06-22 13:00:30,2025-06-22 14:04:05,v2.0.0,1750597230
10060231635204125865,46862b,MDF033  ,2025-06-27,LGTS,LGAV,,,SX-AQK,Embraer EMB-120ER(FC) Brasilia,E120,,MDF,2025-06-27 15:53:45,2025-06-27 16:44:10,v2.0.0,1751039625
10103868632634546232,4690f9,AEE581  ,2025-06-05,LGRP,LGTS,,,SX-DGY,A320 232SL,A320,L2J,AEE,2025-06-05 12:59:50,2025-06-05 13:59:55,v2.0.0,1749128390
10161491665635952198,469e45,SEH5GK  ,2025-06-09,LGTS,LGAV,,,SX-GRE,,A20N,L2J,,2025-06-09 18:18:25,2025-06-09 18:54:05,v2.0.0,1749493105
10177862805321691709,4691c5,AEE581  ,2025-06-27,LGRP,LGTS,,,SX-DNE,Airbus A320 232SL,A320,L2J,AEE,2025-06-27 12:55:50,2025-06-27 14:07:40,v2.0.0,1751028950
10178490785430159323,4d2389,FJO64J  ,2025-06-17,LGTS,LGAV,,,9H-FJX,,E55P,L2J,,2025-06-17 06:35:40,2025-06-17 07:12:05,v2.0.0,1750142140
10419301345799040903,4d2225,RYR9235 ,2025-06-01,LGRP,LGTS,,,9H-QEN,Boeing 737-8AS (W),B738,L2J,RYR,2025-06-01 20:50:05,2025-06-01 21:49:30,v2.0.0,1748811005
10484383441592222697,4690f9,AEE581  ,2025-06-01,LGRP,LGTS,,,SX-DGY,A320 232SL,A320,L2J,AEE,2025-06-01 13:11:40,2025-06-01 14:18:00,v2.0.0,1748783500
10844669090038120410,46a5e7,SEH3GK  ,2025-06-04,LGTS,LGAV,,,SX-IOG,,A20N,L2J,,2025-06-04 18:45:40,2025-06-04 19:25:25,v2.0.0,1749062740
10956913152482278227,a55d7d,N445DB  ,2025-06-15,LGTS,LGAV,,,N445DB,BD-700-1A11,GL5T,L2J,,2025-06-15 05:30:30,2025-06-15 06:07:20,v2.0.0,1749965430
10959555330548662724,4692d2,AEE119  ,2025-06-05,LGTS,LGAV,,,SX-DVR,A320 232,A320,L2J,AEE,2025-06-05 14:15:40,2025-06-05 14:55:05,v2.0.0,1749132940
10977024484924614621,4d2210,RYR4WU  ,2025-06-08,LGTS,LGRP,,,9H-QBT,,B738,L2J,,2025-06-08 19:03:45,2025-06-08 19:59:15,v2.0.0,1749409425
10985374821402867749,4690e9,AEE111  ,2025-06-14,LGTS,LGAV,,,SX-DGI,Airbus A320 232,A320,L2J,AEE,2025-06-14 08:40:45,2025-06-14 09:30:40,v2.0.0,1749890445
11002727392920021290,46d0a3,SEH6GK  ,2025-06-07,LGTS,LGAV,,,SX-TEC,,A20N,L2J,,2025-06-07 04:06:00,2025-06-07 04:39:05,v2.0.0,1749269160
11005893050126260005,46da6c,SEH6GK  ,2025-06-16,LGTS,LGAV,,,SX-VSL,,A320,L2J,,2025-06-16 04:11:10,2025-06-16 04:46:00,v2.0.0,1750047070
11091274693212288054,46d2f2,SEH2HG  ,2025-06-20,LGAV,LGTS,,,SX-TWR,ATR72-600,AT76,,SEH,2025-06-20 08:15:40,2025-06-20 09:04:25,v2.0.0,1750407340
11276657521350497720,4ca761,RYR9235 ,2025-06-06,LGRP,LGTS,,,EI-EFF,BOEING 737-8AS,B738,L2J,RYR,2025-06-06 04:36:35,2025-06-06 05:45:40,v2.0.0,1749184595
11284572558148639722,46dca2,SEH6GK  ,2025-06-19,LGTS,LGAV,,,SX-WEB,,A20N,L2J,,2025-06-19 04:03:55,2025-06-19 04:39:35,v2.0.0,1750305835
11331363796186028759,4690e5,AEE136  ,2025-06-04,LGAV,LGTS,,,SX-DGE,A320 232,A320,L2J,AEE,2025-06-04 21:11:45,2025-06-04 21:46:45,v2.0.0,1749071505
11348442950351407896,4691c5,AEE117  ,2025-06-10,LGTS,LGAV,,,SX-DNE,Airbus A320 232SL,A320,L2J,AEE,2025-06-10 12:04:20,2025-06-10 12:43:45,v2.0.0,1749557060
11362091275789348882,4ca802,RYR9235 ,2025-06-22,LGRP,LGTS,,,EI-EKD,BOEING 737-8AS,B738,L2J,RYR,2025-06-22 21:08:35,2025-06-22 22:10:00,v2.0.0,1750626515
11414459156944718790,4692d6,AEE580  ,2025-06-22,LGTS,LGRP,,,SX-DVV,A320 232,A320,L2J,AEE,2025-06-22 11:12:40,2025-06-22 12:13:35,v2.0.0,1750590760
11568440500494350803,4691c4,AEE7HO  ,2025-06-06,LGRP,LGAV,,,SX-DND,A320 232SL,A320,L2J,AEE,2025-06-06 10:59:25,2025-06-06 11:42:20,v2.0.0,1749207565
11769193879582621817,4692d8,AEE107  ,2025-06-21,LGTS,LGAV,,,SX-DVX,A320 232,A320,L2J,AEE,2025-06-21 06:41:55,2025-06-21 07:29:40,v2.0.0,1750488115
11805161930335457822,46d0c9,SEH2HG  ,2025-06-10,LGAV,LGTS,,,SX-TFI,ATR 72-600,AT76,,SEH,2025-06-10 08:26:10,2025-06-10 09:18:45,v2.0.0,1749543970
11873292434816846895,4691c1,AEE117  ,2025-06-26,LGTS,LGAV,,,SX-DNA,A320 232SL,A320,L2J,AEE,2025-06-26 12:25:45,2025-06-26 12:58:40,v2.0.0,1750940745
11885213865406668632,46da6c,SEH6GK  ,2025-06-05,LGTS,LGAV,,,SX-VSL,,A320,L2J,,2025-06-05 04:04:15,2025-06-05 04:41:40,v2.0.0,1749096255
11930637660263940385,50039f,T71HC   ,2025-06-20,LGTS,LGAV,,,T7-1HC,Gulfstream G650,GLF6,,,2025-06-20 04:26:55,2025-06-20 04:59:55,v2.0.0,1750393615
11968194912283443796,4691c5,AEE580  ,2025-06-15,LGTS,LGRP,,,SX-DNE,Airbus A320 232SL,A320,L2J,AEE,2025-06-15 11:26:55,2025-06-15 12:29:15,v2.0.0,1749986815
12052076755449477551,4692ce,AEE127  ,2025-06-19,LGTS,LGAV,,,SX-DVN,A320 232,A320,L2J,AEE,2025-06-19 18:39:30,2025-06-19 19:15:35,v2.0.0,1750358370
12098298164569725273,46b927,SEH6GK  ,2025-06-17,LGTS,LGAV,,,SX-NIG,,A20N,L2J,,2025-06-17 04:04:20,2025-06-17 04:42:20,v2.0.0,1750133060
12107011985077184623,46d0a3,SEH5RT  ,2025-06-17,LGRP,LGAV,,,SX-TEC,,A20N,L2J,,2025-06-17 16:51:30,2025-06-17 17:41:10,v2.0.0,1750179090
12159616505426443458,4690e2,AEE117  ,2025-06-03,LGTS,LGAV,,,SX-DGB,A320 232,A320,L2J,AEE,2025-06-03 12:07:35,2025-06-03 12:44:35,v2.0.0,1748952455
12220531004634825698,4691c4,AEE581  ,2025-06-28,LGRP,LGTS,,,SX-DND,A320 232SL,A320,L2J,AEE,2025-06-28 13:02:05,2025-06-28 14:02:25,v2.0.0,1751115725
12266573754680523599,46b831,AEE2TS  ,2025-06-14,LGTS,LGAV,,,,,,,,2025-06-14 03:15:00,2025-06-14 03:48:50,v2.0.0,1749870900
12405838333628178425,46b82d,AEE2TS  ,2025-06-16,LGTS,LGAV,,,SX-NAM,,A21N,L2J,,2025-06-16 03:03:55,2025-06-16 03:37:50,v2.0.0,1750043035
12428340022646982251,4690f9,AEE580  ,2025-06-05,LGTS,LGRP,,,SX-DGY,A320 232SL,A320,L2J,AEE,2025-06-05 11:17:05,2025-06-05 12:13:25,v2.0.0,1749122225
12455512038781874649,469e45,SEH6GK  ,2025-06-10,LGTS,LGAV,,,SX-GRE,,A20N,L2J,,2025-06-10 04:10:15,2025-06-10 04:43:10,v2.0.0,1749528615
12515087391341260622,a03bc7,N124FG  ,2025-06-29,LGTS,LGAV,,,,,,,,2025-06-29 10:20:10,2025-06-29 10:59:55,v2.0.0,1751192410
12565768379258338758,4690fa,AEE581  ,2025-06-08,LGRP,LGTS,,,SX-DGZ,A320 232SL,A320,L2J,AEE,2025-06-08 13:08:40,2025-06-08 14:12:45,v2.0.0,1749388120
12705310037709219605,468625,MDF031  ,2025-06-17,LGTS,LGAV,,,SX-AQE,Embraer EMB-120ER(FC) Brasilia,E120,,MDF,2025-06-17 15:46:30,2025-06-17 16:31:50,v2.0.0,1750175190
12720783034125029074,46d0c9,SEH1HG  ,2025-06-12,LGAV,LGTS,,,SX-TFI,ATR 72-600,AT76,,SEH,2025-06-12 04:50:35,2025-06-12 05:42:25,v2.0.0,1749703835
12725627113753190924,4692cc,AEE123  ,2025-06-21,LGTS,LGAV,,,SX-DVL,A320 232,A320,L2J,AEE,2025-06-21 18:24:10,2025-06-21 18:59:10,v2.0.0,1750530250
12734767302146100482,4690fa,AEE580  ,2025-06-06,LGTS,LGRP,,,SX-DGZ,A320 232SL,A320,L2J,AEE,2025-06-06 11:26:15,2025-06-06 12:19:05,v2.0.0,1749209175
12860015254594015536,46da6c,SEH3GK  ,2025-06-14,LGTS,LGAV,,,SX-VSL,,A320,L2J,,2025-06-14 16:41:10,2025-06-14 17:16:20,v2.0.0,1749919270
13070628458356424456,4692ce,AEE580  ,2025-06-09,LGTS,LGRP,,,SX-DVN,A320 232,A320,L2J,AEE,2025-06-09 11:14:45,2025-06-09 12:14:45,v2.0.0,1749467685
13170036258399511078,4690fa,AEE5XQ  ,2025-06-25,LGTS,LGAV,,,SX-DGZ,A320 232SL,A320,L2J,AEE,2025-06-25 15:16:40,2025-06-25 15:52:50,v2.0.0,1750864600
13260742988384777188,46a60f,SEH2GK  ,2025-06-16,LGTS,LGAV,,,SX-IPO,ATR 72-600,AT76,,SEH,2025-06-16 10:05:55,2025-06-16 10:59:55,v2.0.0,1750068355
13452093949554856810,46b831,AEE2TS  ,2025-06-26,LGTS,LGAV,,,,,,,,2025-06-26 03:08:15,2025-06-26 03:51:20,v2.0.0,1750907295
13452512653199828859,4d2210,RYR9235 ,2025-06-18,LGRP,LGTS,,,9H-QBT,,B738,L2J,,2025-06-18 21:41:05,2025-06-18 22:45:40,v2.0.0,1750282865
13458641326526644467,4690f9,AEE580  ,2025-06-14,LGTS,LGRP,,,SX-DGY,A320 232SL,A320,L2J,AEE,2025-06-14 11:21:45,2025-06-14 12:19:40,v2.0.0,1749900105
13499639880189980632,4690e5,AEE5XQ  ,2025-06-06,LGTS,LGAV,,,SX-DGE,A320 232,A320,L2J,AEE,2025-06-06 16:35:05,2025-06-06 17:14:10,v2.0.0,1749227705
13699472369486744579,4691c4,AEE580  ,2025-06-25,LGTS,LGRP,,,SX-DND,A320 232SL,A320,L2J,AEE,2025-06-25 11:12:15,2025-06-25 12:11:15,v2.0.0,1750849935
